strip,image_name,px_per_nm,nm_per_px,scale,scale_pixels,grana_height,num_lumen,repeat_distance,lumen_width,lumen_width_heights,peaks,type,process,index
15,output\processed_images\3_otsuOffset\membrane\strip_15.png,1.315,0.7604562737642585,200,263,156.03157894736842,20,5.36,5.285256410256409,7650.0,164,lumen,3_otsuOffset,18
15,output\processed_images\3_otsuOffset\membrane\strip_15.png,1.315,0.7604562737642585,200,263,156.03157894736842,20,1.48,0.5714285714285836,1657.5,168,lumen,3_otsuOffset,19
16,output\processed_images\3_otsuOffset\membrane\strip_16.png,1.315,0.7604562737642585,200,263,41.20940170940171,3,16.43,4.021008403361343,6375.0,34,lumen,3_otsuOffset,0
16,output\processed_images\3_otsuOffset\membrane\strip_16.png,1.315,0.7604562737642585,200,263,41.20940170940171,3,13.31,3.137362637362635,7650.0,54,lumen,3_otsuOffset,1
16,output\processed_images\3_otsuOffset\membrane\strip_16.png,1.315,0.7604562737642585,200,263,41.20940170940171,3,2.01,0.7222222222222214,1785.0,58,lumen,3_otsuOffset,2
19,output\processed_images\3_otsuOffset\membrane\strip_19.png,1.315,0.7604562737642585,200,263,129.32222222222222,15,6.43,0.571428571428573,13005.0,30,lumen,3_otsuOffset,0
19,output\processed_images\3_otsuOffset\membrane\strip_19.png,1.315,0.7604562737642585,200,263,129.32222222222222,15,0.0,1.8999999999999986,1530.0,34,lumen,3_otsuOffset,1
19,output\processed_images\3_otsuOffset\membrane\strip_19.png,1.315,0.7604562737642585,200,263,129.32222222222222,15,7.59,5.399999999999999,6120.0,42,lumen,3_otsuOffset,2
19,output\processed_images\3_otsuOffset\membrane\strip_19.png,1.315,0.7604562737642585,200,263,129.32222222222222,15,6.18,0.6499999999999986,6757.5,44,lumen,3_otsuOffset,3
19,output\processed_images\3_otsuOffset\membrane\strip_19.png,1.315,0.7604562737642585,200,263,129.32222222222222,15,4.45,1.5416666666666643,2932.5,53,lumen,3_otsuOffset,4
19,output\processed_images\3_otsuOffset\membrane\strip_19.png,1.315,0.7604562737642585,200,263,129.32222222222222,15,17.02,8.168859649122815,7650.0,58,lumen,3_otsuOffset,5
19,output\processed_images\3_otsuOffset\membrane\strip_19.png,1.315,0.7604562737642585,200,263,129.32222222222222,15,3.13,2.242857142857133,3825.0,71,lumen,3_otsuOffset,6
19,output\processed_images\3_otsuOffset\membrane\strip_19.png,1.315,0.7604562737642585,200,263,129.32222222222222,15,0.6,0.7857142857142918,2805.0,75,lumen,3_otsuOffset,7
19,output\processed_images\3_otsuOffset\membrane\strip_19.png,1.315,0.7604562737642585,200,263,129.32222222222222,15,21.98,11.470588235294116,7650.0,82,lumen,3_otsuOffset,8
19,output\processed_images\3_otsuOffset\membrane\strip_19.png,1.315,0.7604562737642585,200,263,129.32222222222222,15,0.0,1.2142857142857082,1275.0,94,lumen,3_otsuOffset,9
19,output\processed_images\3_otsuOffset\membrane\strip_19.png,1.315,0.7604562737642585,200,263,129.32222222222222,15,19.73,5.7156862745097925,7650.0,107,lumen,3_otsuOffset,10
19,output\processed_images\3_otsuOffset\membrane\strip_19.png,1.315,0.7604562737642585,200,263,129.32222222222222,15,19.69,9.902116402116391,7650.0,128,lumen,3_otsuOffset,11
19,output\processed_images\3_otsuOffset\membrane\strip_19.png,1.315,0.7604562737642585,200,263,129.32222222222222,15,2.03,0.625,892.5,137,lumen,3_otsuOffset,12
19,output\processed_images\3_otsuOffset\membrane\strip_19.png,1.315,0.7604562737642585,200,263,129.32222222222222,15,7.97,0.8000000000000114,12877.5,145,lumen,3_otsuOffset,13
19,output\processed_images\3_otsuOffset\membrane\strip_19.png,1.315,0.7604562737642585,200,263,129.32222222222222,15,8.82,8.007259528130675,7650.0,148,lumen,3_otsuOffset,14
2,output\processed_images\3_otsuOffset\membrane\strip_2.png,1.315,0.7604562737642585,200,263,162.38095238095238,21,10.36,4.446666666666665,7650.0,29,lumen,3_otsuOffset,0
2,output\processed_images\3_otsuOffset\membrane\strip_2.png,1.315,0.7604562737642585,200,263,162.38095238095238,21,4.01,0.6818181818181799,2295.0,35,lumen,3_otsuOffset,1
2,output\processed_images\3_otsuOffset\membrane\strip_2.png,1.315,0.7604562737642585,200,263,162.38095238095238,21,4.81,3.625,3570.0,39,lumen,3_otsuOffset,2
2,output\processed_images\3_otsuOffset\membrane\strip_2.png,1.315,0.7604562737642585,200,263,162.38095238095238,21,14.63,8.391304347826086,7650.0,49,lumen,3_otsuOffset,3
2,output\processed_images\3_otsuOffset\membrane\strip_2.png,1.315,0.7604562737642585,200,263,162.38095238095238,21,2.89,2.3482142857142847,4717.5,58,lumen,3_otsuOffset,4
2,output\processed_images\3_otsuOffset\membrane\strip_2.png,1.315,0.7604562737642585,200,263,162.38095238095238,21,4.3,1.53846153846154,10327.5,63,lumen,3_otsuOffset,5
2,output\processed_images\3_otsuOffset\membrane\strip_2.png,1.315,0.7604562737642585,200,263,162.38095238095238,21,13.86,13.596153846153847,7650.0,69,lumen,3_otsuOffset,6
2,output\processed_images\3_otsuOffset\membrane\strip_2.png,1.315,0.7604562737642585,200,263,162.38095238095238,21,4.38,0.5833333333333286,8415.0,82,lumen,3_otsuOffset,7
2,output\processed_images\3_otsuOffset\membrane\strip_2.png,1.315,0.7604562737642585,200,263,162.38095238095238,21,5.55,6.041666666666671,7777.5,85,lumen,3_otsuOffset,8
2,output\processed_images\3_otsuOffset\membrane\strip_2.png,1.315,0.7604562737642585,200,263,162.38095238095238,21,6.27,1.625,12112.5,93,lumen,3_otsuOffset,9
2,output\processed_images\3_otsuOffset\membrane\strip_2.png,1.315,0.7604562737642585,200,263,162.38095238095238,21,8.26,9.736111111111114,7905.0,96,lumen,3_otsuOffset,10
2,output\processed_images\3_otsuOffset\membrane\strip_2.png,1.315,0.7604562737642585,200,263,162.38095238095238,21,4.76,0.6153846153846132,7522.5,107,lumen,3_otsuOffset,11
2,output\processed_images\3_otsuOffset\membrane\strip_2.png,1.315,0.7604562737642585,200,263,162.38095238095238,21,3.5,1.3888888888888857,8160.0,109,lumen,3_otsuOffset,12
2,output\processed_images\3_otsuOffset\membrane\strip_2.png,1.315,0.7604562737642585,200,263,162.38095238095238,21,13.14,10.68990384615384,6757.5,115,lumen,3_otsuOffset,13
2,output\processed_images\3_otsuOffset\membrane\strip_2.png,1.315,0.7604562737642585,200,263,162.38095238095238,21,5.5,1.92647058823529,5100.0,127,lumen,3_otsuOffset,14
2,output\processed_images\3_otsuOffset\membrane\strip_2.png,1.315,0.7604562737642585,200,263,162.38095238095238,21,7.94,5.6875,7650.0,133,lumen,3_otsuOffset,15
2,output\processed_images\3_otsuOffset\membrane\strip_2.png,1.315,0.7604562737642585,200,263,162.38095238095238,21,8.83,3.791666666666657,8542.5,141,lumen,3_otsuOffset,16
2,output\processed_images\3_otsuOffset\membrane\strip_2.png,1.315,0.7604562737642585,200,263,162.38095238095238,21,2.51,1.0,6630.0,148,lumen,3_otsuOffset,17
2,output\processed_images\3_otsuOffset\membrane\strip_2.png,1.315,0.7604562737642585,200,263,162.38095238095238,21,12.29,6.42352941176469,7650.0,155,lumen,3_otsuOffset,18
2,output\processed_images\3_otsuOffset\membrane\strip_2.png,1.315,0.7604562737642585,200,263,162.38095238095238,21,8.49,3.6684491978609515,5865.0,166,lumen,3_otsuOffset,19
2,output\processed_images\3_otsuOffset\membrane\strip_2.png,1.315,0.7604562737642585,200,263,162.38095238095238,21,10.15,5.988636363636374,7650.0,174,lumen,3_otsuOffset,20
20,output\processed_images\3_otsuOffset\membrane\strip_20.png,1.315,0.7604562737642585,200,263,63.00840336134454,3,15.3,4.7720797720797705,6375.0,46,lumen,3_otsuOffset,0
20,output\processed_images\3_otsuOffset\membrane\strip_20.png,1.315,0.7604562737642585,200,263,63.00840336134454,3,22.9,9.069078947368425,6630.0,65,lumen,3_otsuOffset,1
20,output\processed_images\3_otsuOffset\membrane\strip_20.png,1.315,0.7604562737642585,200,263,63.00840336134454,3,16.08,5.416666666666671,5482.5,85,lumen,3_otsuOffset,2
21,output\processed_images\3_otsuOffset\membrane\strip_21.png,1.315,0.7604562737642585,200,263,88.73739130434782,8,13.73,4.9812030075188005,6757.5,37,lumen,3_otsuOffset,0
21,output\processed_images\3_otsuOffset\membrane\strip_21.png,1.315,0.7604562737642585,200,263,88.73739130434782,8,2.55,0.8796992481203034,4462.5,45,lumen,3_otsuOffset,1
21,output\processed_images\3_otsuOffset\membrane\strip_21.png,1.315,0.7604562737642585,200,263,88.73739130434782,8,13.69,4.541666666666664,6630.0,53,lumen,3_otsuOffset,2
21,output\processed_images\3_otsuOffset\membrane\strip_21.png,1.315,0.7604562737642585,200,263,88.73739130434782,8,0.0,2.6666666666666643,637.5,60,lumen,3_otsuOffset,3
21,output\processed_images\3_otsuOffset\membrane\strip_21.png,1.315,0.7604562737642585,200,263,88.73739130434782,8,18.88,6.604166666666671,7650.0,71,lumen,3_otsuOffset,4
21,output\processed_images\3_otsuOffset\membrane\strip_21.png,1.315,0.7604562737642585,200,263,88.73739130434782,8,18.42,6.375757575757575,7650.0,89,lumen,3_otsuOffset,5
21,output\processed_images\3_otsuOffset\membrane\strip_21.png,1.315,0.7604562737642585,200,263,88.73739130434782,8,0.0,1.9000000000000057,765.0,94,lumen,3_otsuOffset,6
21,output\processed_images\3_otsuOffset\membrane\strip_21.png,1.315,0.7604562737642585,200,263,88.73739130434782,8,15.08,5.860139860139867,7650.0,107,lumen,3_otsuOffset,7
22,output\processed_images\3_otsuOffset\membrane\strip_22.png,1.315,0.7604562737642585,200,263,89.42307692307693,8,2.52,0.9285714285714306,3315.0,54,lumen,3_otsuOffset,0
22,output\processed_images\3_otsuOffset\membrane\strip_22.png,1.315,0.7604562737642585,200,263,89.42307692307693,8,10.7,2.239495798319325,7650.0,57,lumen,3_otsuOffset,1
22,output\processed_images\3_otsuOffset\membrane\strip_22.png,1.315,0.7604562737642585,200,263,89.42307692307693,8,19.4,5.5465838509316825,7650.0,75,lumen,3_otsuOffset,2
22,output\processed_images\3_otsuOffset\membrane\strip_22.png,1.315,0.7604562737642585,200,263,89.42307692307693,8,8.16,4.018131868131874,5482.5,92,lumen,3_otsuOffset,3
22,output\processed_images\3_otsuOffset\membrane\strip_22.png,1.315,0.7604562737642585,200,263,89.42307692307693,8,9.14,0.9285714285714306,9180.0,94,lumen,3_otsuOffset,4
22,output\processed_images\3_otsuOffset\membrane\strip_22.png,1.315,0.7604562737642585,200,263,89.42307692307693,8,18.07,4.010230179028127,6630.0,111,lumen,3_otsuOffset,5
22,output\processed_images\3_otsuOffset\membrane\strip_22.png,1.315,0.7604562737642585,200,263,89.42307692307693,8,13.23,4.67307692307692,4207.5,128,lumen,3_otsuOffset,6
22,output\processed_images\3_otsuOffset\membrane\strip_22.png,1.315,0.7604562737642585,200,263,89.42307692307693,8,3.34,0.8499999999999943,5482.5,136,lumen,3_otsuOffset,7
23,output\processed_images\3_otsuOffset\membrane\strip_23.png,1.315,0.7604562737642585,200,263,140.27083333333334,10,16.55,6.104166666666664,7650.0,50,lumen,3_otsuOffset,0
23,output\processed_images\3_otsuOffset\membrane\strip_23.png,1.315,0.7604562737642585,200,263,140.27083333333334,10,19.36,5.605172413793113,7650.0,70,lumen,3_otsuOffset,1
23,output\processed_images\3_otsuOffset\membrane\strip_23.png,1.315,0.7604562737642585,200,263,140.27083333333334,10,20.6,7.134897360703803,7650.0,89,lumen,3_otsuOffset,2
23,output\processed_images\3_otsuOffset\membrane\strip_23.png,1.315,0.7604562737642585,200,263,140.27083333333334,10,1.85,2.0,1275.0,100,lumen,3_otsuOffset,3
