strip,filename,box_size,x,y
161,./raw_images/2023-2-14_Wild Type_Dark Adapted_1_013_19k.png,200,1564,340
162,./raw_images/2023-2-14_Wild Type_Dark Adapted_1_013_19k.png,200,1204,400
163,./raw_images/2023-2-14_Wild Type_Dark Adapted_1_013_19k.png,200,1372,684
164,./raw_images/2023-2-14_Wild Type_Dark Adapted_1_013_19k.png,200,1420,1048
165,./raw_images/2023-2-14_Wild Type_Dark Adapted_1_013_19k.png,200,1392,1424
166,./raw_images/2023-2-14_Wild Type_Dark Adapted_1_013_19k.png,200,860,1624
167,./raw_images/2023-2-14_Wild Type_Dark Adapted_1_023_19k.png,200,1668,592
168,./raw_images/2023-2-14_Wild Type_Dark Adapted_1_023_19k.png,200,1436,268
169,./raw_images/2023-2-14_Wild Type_Dark Adapted_1_023_19k.png,200,956,524
170,./raw_images/2023-2-14_Wild Type_Dark Adapted_1_023_19k.png,200,1496,1024
171,./raw_images/2023-2-14_Wild Type_Dark Adapted_1_023_19k.png,200,172,880
172,./raw_images/2023-2-14_Wild Type_Dark Adapted_1_025_19k.png,200,1832,1052
173,./raw_images/2023-2-14_Wild Type_Dark Adapted_1_025_19k.png,200,804,1300
174,./raw_images/2023-2-14_Wild Type_Dark Adapted_1_025_19k.png,200,908,1616
175,./raw_images/2023-2-14_Wild Type_Dark Adapted_1_025_19k.png,200,1404,576
176,./raw_images/2023-2-14_Wild Type_Dark Adapted_1_025_19k.png,200,1904,468
177,./raw_images/2023-2-14_Wild Type_Dark Adapted_2_009_19k.png,200,656,840
178,./raw_images/2023-2-14_Wild Type_Dark Adapted_2_009_19k.png,200,1608,936
179,./raw_images/2023-2-14_Wild Type_Dark Adapted_2_009_19k.png,200,1832,332
180,./raw_images/2023-2-14_Wild Type_Dark Adapted_2_009_19k.png,200,992,1040
181,./raw_images/2023-2-14_Wild Type_Dark Adapted_2_009_19k.png,200,436,1720
182,./raw_images/2023-2-14_Wild Type_Dark Adapted_2_009_19k.png,200,1200,768
183,./raw_images/2023-2-14_Wild Type_Dark Adapted_2_009_19k.png,200,212,1328
184,./raw_images/2023-2-14_Wild Type_Dark Adapted_2_014_19k.png,200,908,300
185,./raw_images/2023-2-14_Wild Type_Dark Adapted_2_014_19k.png,200,1124,376
186,./raw_images/2023-2-14_Wild Type_Dark Adapted_2_014_19k.png,200,1700,556
187,./raw_images/2023-2-14_Wild Type_Dark Adapted_2_014_19k.png,200,864,1284
188,./raw_images/2023-2-14_Wild Type_Dark Adapted_2_014_19k.png,200,768,1868
189,./raw_images/2023-2-14_Wild Type_Dark Adapted_2_014_19k.png,200,596,1932
190,./raw_images/2023-2-14_Wild Type_Dark Adapted_2_014_19k.png,200,444,1032
191,./raw_images/2023-2-14_Wild Type_Dark Adapted_2_016_19k.png,200,648,464
192,./raw_images/2023-2-14_Wild Type_Dark Adapted_2_016_19k.png,200,1812,712
193,./raw_images/2023-2-14_Wild Type_Dark Adapted_2_016_19k.png,200,1288,1224
194,./raw_images/2023-2-14_Wild Type_Dark Adapted_2_016_19k.png,200,1056,1028
195,./raw_images/2023-2-14_Wild Type_Dark Adapted_2_016_19k.png,200,680,1656
196,./raw_images/2023-2-14_Wild Type_Dark Adapted_2_016_19k.png,200,268,1164
197,./raw_images/2023-2-14_Wild Type_Dark Adapted_2_016_19k.png,200,640,1020
198,./raw_images/2023-2-9_Wild Type_Dark Adapted_1_027_19k.png,200,872,304
199,./raw_images/2023-2-9_Wild Type_Dark Adapted_1_027_19k.png,200,1400,792
200,./raw_images/2023-2-9_Wild Type_Dark Adapted_1_027_19k.png,200,1092,784
201,./raw_images/2023-2-9_Wild Type_Dark Adapted_1_027_19k.png,200,908,1244
202,./raw_images/2023-2-9_Wild Type_Dark Adapted_1_027_19k.png,200,1032,1700
203,./raw_images/2023-2-9_Wild Type_Dark Adapted_1_031_19k.png,200,1044,268
204,./raw_images/2023-2-9_Wild Type_Dark Adapted_1_031_19k.png,200,1384,616
205,./raw_images/2023-2-9_Wild Type_Dark Adapted_1_031_19k.png,200,1516,1052
206,./raw_images/2023-2-9_Wild Type_Dark Adapted_1_031_19k.png,200,1580,1632
