filename,x,y,scale
2023-9-4_Wild Type_Dark Adapted_2_012_25k.png,1100,808,200
2023-9-4_Wild Type_Dark Adapted_2_012_25k.png,1240,1136,200
2023-9-4_Wild Type_Dark Adapted_2_012_25k.png,304,924,200
2023-9-4_Wild Type_Dark Adapted_2_016_25k.png,1232,704,200
2023-9-4_Wild Type_Dark Adapted_2_016_25k.png,1056,816,200
2023-9-4_Wild Type_Dark Adapted_2_016_25k.png,1104,260,200
2023-9-4_Wild Type_Dark Adapted_2_016_25k.png,916,1816,200
2023-9-4_Wild Type_Dark Adapted_3_003_25k.png,1508,1452,200
2023-9-4_Wild Type_Dark Adapted_3_003_25k.png,1284,1292,200
2023-9-4_Wild Type_Dark Adapted_3_012_25k.png,1532,1300,200
2023-9-4_Wild Type_Dark Adapted_3_012_25k.png,1128,1736,200
2023-9-4_Wild Type_Dark Adapted_3_012_25k.png,680,800,200
2023-9-4_Wild Type_Dark Adapted_3_012_25k.png,612,568,200
2023-9-4_Wild Type_Dark Adapted_3_012_25k.png,220,288,200
