strip,image_name,px_per_nm,nm_per_px,scale,scale_pixels,grana_height,membrane_width,membrane_width_heights,peaks,type,index,process,membrane_width_nm
134,output\trial_2\processed_images\1_otsuOffset\membrane\strip_134.png,1.095,0.91324200913242,200,219,71.61335403726709,8.434782608695656,7650.0,89,membrane,4,1_otsuOffset,7.702997816160416
135,output\trial_2\processed_images\1_otsuOffset\membrane\strip_135.png,1.095,0.91324200913242,200,219,87.45238095238096,8.785714285714285,7650.0,27,membrane,0,1_otsuOffset,8.023483365949119
135,output\trial_2\processed_images\1_otsuOffset\membrane\strip_135.png,1.095,0.91324200913242,200,219,87.45238095238096,12.501075268817203,7650.0,42,membrane,1,1_otsuOffset,11.41650709481023
135,output\trial_2\processed_images\1_otsuOffset\membrane\strip_135.png,1.095,0.91324200913242,200,219,87.45238095238096,29.15091463414634,7650.0,61,membrane,2,1_otsuOffset,26.62183984853547
135,output\trial_2\processed_images\1_otsuOffset\membrane\strip_135.png,1.095,0.91324200913242,200,219,87.45238095238096,29.15091463414634,7650.0,76,membrane,3,1_otsuOffset,26.62183984853547
135,output\trial_2\processed_images\1_otsuOffset\membrane\strip_135.png,1.095,0.91324200913242,200,219,87.45238095238096,8.13095238095238,7650.0,90,membrane,4,1_otsuOffset,7.4255272885409855
135,output\trial_2\processed_images\1_otsuOffset\membrane\strip_135.png,1.095,0.91324200913242,200,219,87.45238095238096,3.790441176470594,3697.5,105,membrane,5,1_otsuOffset,3.461590115498259
135,output\trial_2\processed_images\1_otsuOffset\membrane\strip_135.png,1.095,0.91324200913242,200,219,87.45238095238096,0.6666666666666714,3825.0,109,membrane,6,1_otsuOffset,0.6088280060882844
161,output\trial_2\processed_images\1_otsuOffset\membrane\strip_161.png,0.88,1.1363636363636365,500,440,108.50828247602442,5.997062279670974,7650.0,26,membrane,0,1_otsuOffset,6.814843499626107
161,output\trial_2\processed_images\1_otsuOffset\membrane\strip_161.png,0.88,1.1363636363636365,500,440,108.50828247602442,10.026785714285715,7650.0,37,membrane,1,1_otsuOffset,11.394074675324678
161,output\trial_2\processed_images\1_otsuOffset\membrane\strip_161.png,0.88,1.1363636363636365,500,440,108.50828247602442,9.623376623376622,7650.0,51,membrane,2,1_otsuOffset,10.935655253837071
161,output\trial_2\processed_images\1_otsuOffset\membrane\strip_161.png,0.88,1.1363636363636365,500,440,108.50828247602442,10.079999999999998,7650.0,64,membrane,3,1_otsuOffset,11.454545454545453
161,output\trial_2\processed_images\1_otsuOffset\membrane\strip_161.png,0.88,1.1363636363636365,500,440,108.50828247602442,9.983333333333334,7650.0,79,membrane,4,1_otsuOffset,11.344696969696972
161,output\trial_2\processed_images\1_otsuOffset\membrane\strip_161.png,0.88,1.1363636363636365,500,440,108.50828247602442,10.333333333333329,7650.0,91,membrane,5,1_otsuOffset,11.742424242424239
161,output\trial_2\processed_images\1_otsuOffset\membrane\strip_161.png,0.88,1.1363636363636365,500,440,108.50828247602442,10.474999999999994,7650.0,104,membrane,6,1_otsuOffset,11.903409090909086
161,output\trial_2\processed_images\1_otsuOffset\membrane\strip_161.png,0.88,1.1363636363636365,500,440,108.50828247602442,9.771958537915978,7650.0,118,membrane,7,1_otsuOffset,11.104498338540886
161,output\trial_2\processed_images\1_otsuOffset\membrane\strip_161.png,0.88,1.1363636363636365,500,440,108.50828247602442,5.486260454002391,7650.0,128,membrane,8,1_otsuOffset,6.234386879548172
176,output\trial_2\processed_images\1_otsuOffset\membrane\strip_176.png,0.88,1.1363636363636365,500,440,88.91111111111111,6.048366013071895,7650.0,25,membrane,0,1_otsuOffset,6.873143196672609
176,output\trial_2\processed_images\1_otsuOffset\membrane\strip_176.png,0.88,1.1363636363636365,500,440,88.91111111111111,10.956221198156683,7650.0,37,membrane,1,1_otsuOffset,12.450251361541687
176,output\trial_2\processed_images\1_otsuOffset\membrane\strip_176.png,0.88,1.1363636363636365,500,440,88.91111111111111,10.400921658986178,7650.0,52,membrane,2,1_otsuOffset,11.819229157938839
176,output\trial_2\processed_images\1_otsuOffset\membrane\strip_176.png,0.88,1.1363636363636365,500,440,88.91111111111111,10.085470085470078,7650.0,65,membrane,3,1_otsuOffset,11.460761460761454
176,output\trial_2\processed_images\1_otsuOffset\membrane\strip_176.png,0.88,1.1363636363636365,500,440,88.91111111111111,10.467741935483872,7650.0,80,membrane,4,1_otsuOffset,11.895161290322584
176,output\trial_2\processed_images\1_otsuOffset\membrane\strip_176.png,0.88,1.1363636363636365,500,440,88.91111111111111,10.451612903225808,7650.0,95,membrane,5,1_otsuOffset,11.876832844574782
176,output\trial_2\processed_images\1_otsuOffset\membrane\strip_176.png,0.88,1.1363636363636365,500,440,88.91111111111111,5.969696969696969,7650.0,108,membrane,6,1_otsuOffset,6.783746556473829
187,output\trial_2\processed_images\1_otsuOffset\membrane\strip_187.png,0.88,1.1363636363636365,500,440,80.74632352941177,7.104278074866311,7650.0,23,membrane,0,1_otsuOffset,8.073043266893537
